BatchId,ClientId,SampleId,ClientSampleId,Capture time (MT),Lat,Long,SiteName,PublishStatus
JVB3259,zacchaeus.compson@unt.edu,S090085.0,B3,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090084.0,62-11,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090083.0,60-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090082.0,58-07,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090081.0,56-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090080.0,53-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090079.0,B2,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090078.1,62-10,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090077.1,60-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090076.0,58-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090075.1,56-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090074.1,52-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090073.0,B1,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090072.0,62-08,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090071.0,59-07,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090070.0,58-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090069.0,56-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090068.1,52-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090067.1,63-10,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090066.0,62-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090065.1,59-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090064.0,58-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088693.1,21-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088692.1,26-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088691.0,29-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088690.1,32-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088689.0,33-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088688.0,36-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088687.0,39-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088686.0,43-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088685.0,22-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088684.0,27-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088683.0,29-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088682.1,32-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088681.0,34-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088680.1,36-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088679.1,40-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088678.1,44-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088677.0,22-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088676.1,27-02,,,,,Private
