BatchId,ClientId,SampleId,ClientSampleId,Capture time (MT),Lat,Long,SiteName,PublishStatus
JVB3259,zacchaeus.compson@unt.edu,S090085,B3,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090084,62-11,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090083,60-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090082,58-07,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090081,56-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090080,53-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090079,B2,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090078,62-10,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090077,60-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090076,58-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090075,56-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090074,52-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090073,B1,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090072,62-08,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090071,59-07,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090070,58-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090069,56-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090068,52-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090067,63-10,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090066,62-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090065,59-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S090064,58-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088693,21-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088692,26-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088691,29-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088690,32-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088689,33-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088688,36-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088687,39-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088686,43-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088685,22-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088684,27-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088683,29-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088682,32-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088681,34-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088680,36-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088679,40-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088678,44-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088677,22-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088676,27-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088675,29-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088674,32-07,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088673,34-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088672,36-07,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088671,41-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088670,45-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088669,22-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088668,27-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088667,31-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088666,32-08,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088665,35-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088664,36-08,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088663,41-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088662,46-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088661,23-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088660,27-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088659,32-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088658,33-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088657,35-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088656,36-11,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088655,42-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088654,46-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088653,23-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088652,28-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088651,32-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088650,33-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088649,35-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088648,36-12,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088647,42-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088646,47-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088645,24-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088644,28-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088643,32-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088642,33-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088641,35-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088640,37-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088639,42-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088638,47-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088637,25-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088636,28-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088635,32-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088634,33-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088633,36-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088632,38-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088631,42-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088630,48-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088629,49-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088628,53-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088627,56-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088626,58-10,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088625,60-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088624,62-13,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088623,B4,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088622,50-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088621,54-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088620,56-09,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088619,59-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088618,60-10,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088617,63-05,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088616,B5,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088615,51-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088614,54-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088613,57-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088612,59-02,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088611,61-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088610,63-06,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088609,B6,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088608,52-03,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088607,54-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088606,57-08,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088605,59-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088604,62-01,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088603,63-08,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088602,52-04,,,,,Private
JVB3259,zacchaeus.compson@unt.edu,S088601,55-01,,,,,Private
