observed_on,user_name,quality_grade,lat,long,scientific_name,common_name,kingdom,phylum,class,order,family,genus
4/1/2023,,research,32.68399352,-97.2236735,Falconina gracilis,,Animalia,Arthropoda,Arachnida,Araneae,Corinnidae,Falconina
4/1/2023,,needs_id,32.6838989,-97.22395781,Andrena,Mining Bees,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena
4/1/2023,,needs_id,32.68401447,-97.22388128,Metaltella simoni,South American Toothed Hacklemesh Weaver,Animalia,Arthropoda,Arachnida,Araneae,Desidae,Metaltella
4/1/2023,Chris Acree,research,32.66691667,-97.47101667,Hyles lineata,White-lined Sphinx,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles
4/1/2023,Chris Acree,needs_id,32.66682833,-97.47098667,Bulia deducta,Deduced Graphic,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Bulia
4/1/2023,Chris Acree,research,32.66688833,-97.47097833,Costaconvexa centrostrigaria,Bent-lined Carpet,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Costaconvexa
4/1/2023,Chris Acree,research,32.66684667,-97.471,Galgula partita,Wedgling Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Galgula
4/1/2023,Chris Acree,needs_id,32.66684667,-97.471,Frederickia s-signata,Signate and Mesquite Looper Moths and Allies,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Frederickia
4/1/2023,Chris Acree,needs_id,32.666825,-97.470955,Chironomidae,Non-biting Midges,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,
4/1/2023,,needs_id,32.93418621,-97.48090443,Angiospermae,flowering plants,Plantae,Tracheophyta,,,,
4/1/2023,Sam Kieschnick,research,32.69890398,-96.27516514,Celtis laevigata,sugar hackberry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis
4/1/2023,Sam Kieschnick,research,32.69894105,-96.27531448,Valerianella radiata,beaked cornsalad,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valerianella
4/1/2023,Sam Kieschnick,research,32.69878831,-96.27513536,Galium aparine,catchweed bedstraw,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium
4/1/2023,jan lapine,needs_id,32.9754452,-97.1100787,Pyrrhopappus pauciflorus,smallflower desert-chicory,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pyrrhopappus
4/1/2023,Sam Kieschnick,research,32.65568783,-96.0978383,Rapistrum rugosum,annual bastard cabbage,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Rapistrum
4/1/2023,Sam Kieschnick,research,32.65451965,-96.09660487,Chaerophyllum tainturieri,hairyfruit chervil,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Chaerophyllum
4/1/2023,jan lapine,needs_id,32.97541176,-97.11007616,Callirhoe involucrata,winecup mallow,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Callirhoe
4/1/2023,Sam Kieschnick,research,32.65453985,-96.09660347,Castilleja indivisa,Texas Paintbrush,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja
4/1/2023,jan lapine,needs_id,32.97545919,-97.11069432,Coccinella septempunctata,Seven-spotted Lady Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella
4/1/2023,Shannon Driscoll,research,32.75387573,-96.84786224,Lithospermum incisum,narrowleaf puccoon,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Lithospermum
4/1/2023,Shannon Driscoll,research,32.75387573,-96.84786224,Penstemon cobaea,cobaea beardtongue,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon
4/1/2023,Jada Martinez,research,33.24950491,-97.14922923,Achillea millefolium,common yarrow,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea
4/1/2023,Jada Martinez,research,33.24947134,-97.14929025,Polytaenia texana,Texas Prairie Parsley,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Polytaenia
4/1/2023,Jada Martinez,research,33.24942558,-97.1486896,Rubus trivialis,southern dewberry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus
4/1/2023,,research,32.82171631,-97.55762482,Antheraea polyphemus, ,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea
4/1/2023,Jada Martinez,research,33.25031837,-97.14803866,Cirsium undulatum,wavyleaf thistle,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium
