user_name,quality_grade,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name
Joshua Ebright,needs_id,Lygus,Lygus Bugs,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Lygus
Joshua Ebright,research,Pseudopachybrachius basalis,,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Pseudopachybrachius
Joshua Ebright,needs_id,Telenominae,,Animalia,Arthropoda,Insecta,Hymenoptera,Scelionidae,
Joshua Ebright,research,Oxyopes salticus,Striped Lynx Spider,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes
Joshua Ebright,research,Rhinacloa forticornis,Western Plant Bug,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Rhinacloa
Joshua Ebright,research,Leucrocuta maculipennis,,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Leucrocuta
Joshua Ebright,needs_id,Ptinidae,"Deathwatch, Spider, and Wood-borer Beetles",Animalia,Arthropoda,Insecta,Coleoptera,Ptinidae,
Joshua Ebright,needs_id,Blastobasis glandulella,Acorn Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasis
Joshua Ebright,research,Stelidota coenosa,,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Stelidota
Joshua Ebright,research,Toxomerus politus,Maize Calligrapher,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus
Joshua Ebright,research,Spanagonicus albofasciatus,Whitemarked Fleahopper,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Spanagonicus
Joshua Ebright,research,Hypena scabra,Green Cloverworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena
Joshua Ebright,needs_id,Pteromalini,,Animalia,Arthropoda,Insecta,Hymenoptera,Pteromalidae,
jade!,research,Hypena scabra,Green Cloverworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena
Tony Derda,research,Amorpha juglandis,Walnut Sphinx,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Amorpha
jan lapine,research,Amaranthus palmeri,Palmer's Amaranth,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus
Heather Williams,needs_id,Cotinis,Green June Beetles,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cotinis
Heather Williams,research,Pantala flavescens,Wandering Glider,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala
,research,Monarda citriodora,lemon beebalm,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Monarda
Page Pennington Schreck,needs_id,Solidago altissima,tall goldenrod,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago
,research,Pluchea odorata,marsh fleabane,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pluchea
,needs_id,Melissodes,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Melissodes
,research,Helianthus annuus,Common Sunflower,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus
Shabrezka Castillo,research,Manduca rustica,Rustic Sphinx,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca
,research,Euphorbia bicolor,snow-on-the-prairie,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia
,research,Neltuma glandulosa,honey mesquite,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Neltuma
"",research,Eryngium leavenworthii,Leavenworth's eryngo,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium
,needs_id,Plantago,plantains,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago
,needs_id,Xysticus texanus,,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Xysticus
,research,Symphoricarpos orbiculatus,coralberry,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Symphoricarpos
,research,Opuntia macrorhiza grandiflora,,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia
Barbara Keeler,research,Cercis canadensis,eastern redbud,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cercis
Barbara Keeler,research,Frangula caroliniana,Carolina buckthorn,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Frangula
Barbara Keeler,needs_id,Fraxinus albicans,Texas ash,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus
Mallory Hall,needs_id,Pococera asperatella,Maple Webworm Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Pococera
Barbara Keeler,research,Ilex decidua,possumhaw,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex
,needs_id,Apantesis vittata,Banded Tiger Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Apantesis
Ethan,research,Chilopsis linearis,desert willow,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Chilopsis
