sample_no,lab_acession_no,band_no,collection_date,period,age,sex,grid,cap_loc,net_setup,net_no,t_cap,t_release,cap_meth,wing_mm,tail_mm,mass_g,fat,pect,cp,bp,body_molt,wing_molt,photos,nest_day,nest_no,nest_status,field_remarks,dna_ext_date,f_mass_g,f_extractor,ext_remarks,,
21-01,06-0001,2511-33476,4/28/2023,1,asy,m,bg,net23-1-4,1,4,7:00:00 AM,7:10:00 AM,passive,73,56,16.47,1,1,na,na,na,na,yes,na,na,na,recap from 2020,1/12/2024,0.0545,LD,flip top tube,,
22-01,06-0002,2511-33476,4/29/2023,1,asy,m,bg,net23-1-3,1,3,6:50:00 AM,7:08:00 AM,target,72,54,16.46,0,1,na,na,na,na,no,na,na,na,recap - caught in net with callback and decoy - pics from 4/28/23,1/12/2024,0.0744,LD,possible contamination for a spill of 22-3 - flip top tube,,
22-02,06-0003,2541-50651,4/29/2023,1,asy,f,bg,feederbg-1,1,na,8:10:00 AM,8:26:00 AM,feeder,66,51,15.18,0,1,na,na,na,na,yes,na,na,na,"banded in 2020, blue fleck on head",1/12/2024,0.0922,LD,flip top tube,,
22-03,06-0004,2811-92925,4/29/2023,1,asy,m,bg,feederbg-1,1,na,8:53:00 AM,8:59:00 AM,feeder,71,55,16.63,0,2,na,na,na,na,yes,na,na,na,na,1/12/2024,0.0134,LD,inhibtex buffer spilled out during inital vortexing - flip top tube,,
23-02,06-0007,2811-92839,5/3/2023,1,asy,m,bor,net23-2-3,2,3,7:53:00 AM,8:04:00 AM,target,74,58,16.81,0,0,yes,na,na,na,yes,na,na,na,caught in net with callback and decoy,1/12/2024,0.0276,LD,flip top tube,,
23-03,06-0008,2811-92847,5/3/2023,1,asy,m,bor,feederbor-1,na,na,8:00:00 AM,8:11:00 AM,feeder,73,57,15.04,0,0,yes,na,na,na,yes,na,na,na,na,1/12/2024,0.0187,LD,flip top tube,,
24-01,06-0009,2811-93067,5/4/2023,1,asy,m,bg,net23-3-10,3,10,6:38:00 AM,7:00:00 AM,passive,72,57,16.83,0,0,yes,na,no,no,yes,na,na,na,"Leg deformity-swelling upper tarsus R. lef, small bump proximal lower tarsus",1/12/2024,0.0181,LD,flip top tube,,
25-01,06-0011,2811-92847,5/5/2023,1,asy,m,bg,net23-3-5,3,5,7:16:00 AM,7:27:00 AM,passive,72,58,15.21,0,0,yes,na,no,no,yes,na,na,na,Rect R1 L1 previous plumage,1/12/2024,0.0198,LD,flip top tube,,
26-01,06-0012,2811-93071,5/6/2023,1,asy,f,bor,net23-4-10,4,10,7:35:00 AM,7:59:00 AM,passive,68,53,15.3,0,0,na,no,no,no,yes,na,na,na,Blue spec on head Green edging on outer primaries so ASY female,1/12/2024,0.1003,LD,flip top tube,,"
"
27-01,06-0013,2511-33306,5/8/2023,1,asy,m,bor,net23-4-10,4,10,8:10:00 AM,na,passive,72,56,17.2,0,1,yes,na,na,na,yes,na,na,na,"Huge cp, 2019 banded as a SY",1/12/2024,0.0383,LD,flip top tube,,
27-02,06-0014,2811-93072,5/8/2023,1,asy,f,bor,net23-4-2,4,2,8:10:00 AM,8:44:00 AM,passive,69,55,13.4,0,0,na,no,no,na,yes,na,na,na,Blue speck on head Green edging on pp coverts,1/12/2024,0.0627,LD,flip top tube,,
27-03,06-0015,2811-93073,5/8/2023,1,asy,f,bor,net23-4-6,4,6,8:55:00 AM,9:23:00 AM,passive,69,58,14.75,0,0,na,yes,no,na,yes,na,na,na,Possible 1 for brood patch Green edging on pp coverts,1/12/2024,0.0999,LD,flip top tube,,
