TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
ArthCOI,ESV_069402,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.2
ArthCOI,ESV_069401,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.2
ArthCOI,ESV_069369,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.8
ArthCOI,ESV_069259,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR147965,94.3
ArthCOI,ESV_069259,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus oregonensis,KR147448,94.3
ArthCOI,ESV_069259,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus borealis,KR145353,94.3
ArthCOI,ESV_069259,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus sanguinipes,KR145170,94.3
ArthCOI,ESV_069259,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus infantilis,KM537799,94.3
ArthCOI,ESV_069259,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus infantilis,KM536343,94.9
ArthCOI,ESV_069259,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus alpinus,KM528338,94.3
ArthCOI,ESV_069259,Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae,Paroxya,Paroxya clavuliger,HQ983719,94.3
ArthCOI,ESV_069243,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,97.5
ArthCOI,ESV_069400,Eukaryota,unk_phylum,unk_class,unk_order,Apusomonadidae,Thecamonas,Thecamonas trahens,NC_026452,79.1
ArthCOI,ESV_069257,Eukaryota,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Asterocampa,Asterocampa celtis,JF855361,100
ArthCOI,ESV_069399,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,91.7
ArthCOI,ESV_069398,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,98.1
ArthCOI,ESV_069397,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.2
ArthCOI,ESV_069396,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,97.5
ArthCOI,ESV_069395,Eukaryota,Arthropoda,Insecta,Diptera,Phoridae,,,MF859373,91.1
ArthCOI,ESV_069395,Eukaryota,Arthropoda,Insecta,Diptera,Phoridae,,,MF857939,91.1
ArthCOI,ESV_069395,Eukaryota,Arthropoda,Insecta,Diptera,Phoridae,,,MF855261,91.1
ArthCOI,ESV_069395,Eukaryota,Arthropoda,Insecta,Diptera,Phoridae,,,MF851912,91.1
ArthCOI,ESV_069395,Eukaryota,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus sp. UPOL A00664,MF286335,91.7
ArthCOI,ESV_069395,Eukaryota,Arthropoda,Insecta,Diptera,Phoridae,,,KR992118,91.1
ArthCOI,ESV_069395,Eukaryota,Arthropoda,Insecta,Diptera,Phoridae,,,KR983992,91.1
ArthCOI,ESV_069395,Eukaryota,Arthropoda,Insecta,Diptera,Phoridae,,,KM646212,91.1
ArthCOI,ESV_069394,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.2
ArthCOI,ESV_069393,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Macalla,Macalla zelleri,GU802036,98.7
ArthCOI,ESV_069393,Eukaryota,Arthropoda,Insecta,Lepidoptera,Pyralidae,Macalla,Macalla zelleri,GU801564,99.4
ArthCOI,ESV_069392,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.8
ArthCOI,ESV_069391,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,94.9
ArthCOI,ESV_069390,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,92.4
ArthCOI,ESV_069389,Eukaryota,Arthropoda,Insecta,Phasmatodea,Heteronemiidae,,,HM385652,96.8
